Audience View,Date,Aggregation,Audience Size
Your total audience,2026-07-23,Monthly,31000

Interests
Category,Bulk Sheet Category,Percent of audience,Affinity,Interest,Bulk Sheet Interests,Percent of audience,Affinity
Design,"{'name': 'Design', 'id': '902065567321'}",0.693,1.2,Business and Advertising Design,"{'name': 'Business and Advertising Design', 'id': '897856923844'}",0.535,3.021
Design,"{'name': 'Design', 'id': '902065567321'}",0.693,1.2,Book and Magazine Design,"{'name': 'Book and Magazine Design', 'id': '902581337527'}",0.208,5.257
Education,"{'name': 'Education', 'id': '922134410098'}",0.689,1.187,Subjects,"{'name': 'Subjects', 'id': '955838913612'}",0.976,1.046
Education,"{'name': 'Education', 'id': '922134410098'}",0.689,1.187,Career,"{'name': 'Career', 'id': '941720221932'}",0.291,2.185
Education,"{'name': 'Education', 'id': '922134410098'}",0.689,1.187,Education Level,"{'name': 'Education Level', 'id': '953977921048'}",0.14,0.857
Education,"{'name': 'Education', 'id': '922134410098'}",0.689,1.187,Teacher Resources,"{'name': 'Teacher Resources', 'id': '920023336761'}",0.139,0.794
Beauty,"{'name': 'Beauty', 'id': '935541271955'}",0.669,1.186,Hair,"{'name': 'Hair', 'id': '903411883690'}",0.902,1.014
Beauty,"{'name': 'Beauty', 'id': '935541271955'}",0.669,1.186,Skin Care,"{'name': 'Skin Care', 'id': '898977956499'}",0.809,1.432
Beauty,"{'name': 'Beauty', 'id': '935541271955'}",0.669,1.186,Makeup,"{'name': 'Makeup', 'id': '948264532184'}",0.591,1.43
Beauty,"{'name': 'Beauty', 'id': '935541271955'}",0.669,1.186,Bath and Body Care,"{'name': 'Bath and Body Care', 'id': '924324486050'}",0.512,1.479
Beauty,"{'name': 'Beauty', 'id': '935541271955'}",0.669,1.186,Nails,"{'name': 'Nails', 'id': '956143059915'}",0.321,0.917
Beauty,"{'name': 'Beauty', 'id': '935541271955'}",0.669,1.186,Fragrance,"{'name': 'Fragrance', 'id': '942244143669'}",0.063,5.626
Beauty,"{'name': 'Beauty', 'id': '935541271955'}",0.669,1.186,Men's Beauty,"{'name': ""Men's Beauty"", 'id': '944758664397'}",0.031,0.719
Health,"{'name': 'Health', 'id': '898620064290'}",0.639,1.22,Diet and Nutrition,"{'name': 'Diet and Nutrition', 'id': '899102674037'}",0.786,1.224
Health,"{'name': 'Health', 'id': '898620064290'}",0.639,1.22,Lifestyle,"{'name': 'Lifestyle', 'id': '916100312986'}",0.467,1.045
Health,"{'name': 'Health', 'id': '898620064290'}",0.639,1.22,Medical,"{'name': 'Medical', 'id': '912753135383'}",0.088,0.963
Health,"{'name': 'Health', 'id': '898620064290'}",0.639,1.22,Weight Loss,"{'name': 'Weight Loss', 'id': '921895445919'}",0.023,0.512
Women's Fashion,"{'name': ""Women's Fashion"", 'id': '948967005229'}",0.635,1.145,Women's Jewelry and Accessories,"{'name': ""Women's Jewelry and Accessories"", 'id': '916487219793'}",0.588,1.218
Women's Fashion,"{'name': ""Women's Fashion"", 'id': '948967005229'}",0.635,1.145,Women's Style,"{'name': ""Women's Style"", 'id': '947341333711'}",0.588,1.063
Women's Fashion,"{'name': ""Women's Fashion"", 'id': '948967005229'}",0.635,1.145,Women's Bag,"{'name': ""Women's Bag"", 'id': '941900382861'}",0.551,1.797
Women's Fashion,"{'name': ""Women's Fashion"", 'id': '948967005229'}",0.635,1.145,Women's Shoes,"{'name': ""Women's Shoes"", 'id': '923271066791'}",0.509,1.261
Women's Fashion,"{'name': ""Women's Fashion"", 'id': '948967005229'}",0.635,1.145,Dress,"{'name': 'Dress', 'id': '945391946569'}",0.478,0.977
Women's Fashion,"{'name': ""Women's Fashion"", 'id': '948967005229'}",0.635,1.145,Women's Activewear,"{'name': ""Women's Activewear"", 'id': '900866395493'}",0.297,0.994
Women's Fashion,"{'name': ""Women's Fashion"", 'id': '948967005229'}",0.635,1.145,Women's Bottoms,"{'name': ""Women's Bottoms"", 'id': '936466861734'}",0.294,0.843
Women's Fashion,"{'name': ""Women's Fashion"", 'id': '948967005229'}",0.635,1.145,Women's Outfits by Occasions,"{'name': ""Women's Outfits by Occasions"", 'id': '895148303659'}",0.289,1.011
Women's Fashion,"{'name': ""Women's Fashion"", 'id': '948967005229'}",0.635,1.145,Women's Top,"{'name': ""Women's Top"", 'id': '945391038177'}",0.149,0.802
