Analytics overview
2026-06-25 - 2026-07-25
Content types,All
Devices,All
Source,All
Publish Types,
Age,All
Gender,All
Format,All
Curated content,Not included

Date,Impressions
2026-06-25,1788
2026-06-26,1712
2026-06-27,871
2026-06-28,858
2026-06-29,2193
2026-06-30,2432
2026-07-01,2248
2026-07-02,1747
2026-07-03,1638
2026-07-04,944
2026-07-05,808
2026-07-06,1772
2026-07-07,1912
2026-07-08,2078
2026-07-09,2063
2026-07-10,2062
2026-07-11,1302
2026-07-12,2462
2026-07-13,2259
2026-07-14,2380
2026-07-15,1847
2026-07-16,2994
2026-07-17,2359
https://www.pinterest.com/Baddiesbeauty43/nail-care-art/,3,0,0,0,0
https://www.pinterest.com/Baddiesbeauty43/nail-art-nails-2026/,2,0,0,0,0
https://www.pinterest.com/Baddiesbeauty43/_quick_creates/,2,0,0,0,0
"Top boards table is restricted to data from the last 6 months. This includes estimated data from 2026-07-24, which gets adjusted as it's verified over time."

Top Pins 2026-06-25 - 2026-07-25
Pinterest Link,Content Type,Source,Canonical,Impressions
https://www.pinterest.com/pin/1118229782511570393/,Organic,From you,No,13012
https://www.pinterest.com/pin/1118229782511535400/,Organic,From you,No,3642
https://www.pinterest.com/pin/1118229782511570144/,Organic,From you,No,3594
https://www.pinterest.com/pin/1118229782511570689/,Organic,From you,No,3074
https://www.pinterest.com/pin/1118229782514146965/,Organic,From you,No,1835
https://www.pinterest.com/pin/1118229782511782838/,Organic,From you,No,1243
https://www.pinterest.com/pin/1118229782514206938/,Organic,From you,No,1166
https://www.pinterest.com/pin/1118229782511704381/,Organic,From you,No,961
https://www.pinterest.com/pin/1118229782511702425/,Organic,From you,No,880
https://www.pinterest.com/pin/1118229782510939854/,Organic,From you,No,758
https://www.pinterest.com/pin/1118229782511346447/,Organic,From you,No,758
https://www.pinterest.com/pin/1118229782510940492/,Organic,From you,No,732
https://www.pinterest.com/pin/1118229782514347272/,Organic,From you,No,694
https://www.pinterest.com/pin/1118229782511052130/,Organic,From you,No,667
https://www.pinterest.com/pin/1118229782510923152/,Organic,From you,No,647
https://www.pinterest.com/pin/1118229782511825874/,Organic,From you,No,586
https://www.pinterest.com/pin/1118229782511048138/,Organic,From you,No,526
https://www.pinterest.com/pin/1118229782514207923/,Organic,From you,No,504
https://www.pinterest.com/pin/1118229782510939348/,Organic,From you,No,499
https://www.pinterest.com/pin/1118229782511194868/,Organic,From you,No,486
https://www.pinterest.com/pin/1118229782511836895/,Organic,From you,No,474
https://www.pinterest.com/pin/1118229782510998148/,Organic,From you,No,466
https://www.pinterest.com/pin/1118229782510738940/,Organic,From you,No,424
https://www.pinterest.com/pin/1118229782511569902/,Organic,From you,No,394
https://www.pinterest.com/pin/1118229782511237427/,Organic,From you,No,367
https://www.pinterest.com/pin/1118229782511450145/,Organic,From you,No,348
https://www.pinterest.com/pin/1118229782511338225/,Organic,From you,No,347
https://www.pinterest.com/pin/1118229782511771948/,Organic,From you,No,277
https://www.pinterest.com/pin/1118229782511539026/,Organic,From you,No,273
https://www.pinterest.com/pin/1118229782511802372/,Organic,From you,No,250
https://www.pinterest.com/pin/1118229782514205231/,Organic,From you,No,224
https://www.pinterest.com/pin/1118229782510998141/,Organic,From you,No,219
https://www.pinterest.com/pin/1118229782510738582/,Organic,From you,No,212
https://www.pinterest.com/pin/1118229782511799353/,Organic,From you,No,209
https://www.pinterest.com/pin/1118229782510999663/,Organic,From you,No,200
https://www.pinterest.com/pin/1118229782511548869/,Organic,From you,No,196
https://www.pinterest.com/pin/1118229782514157582/,Organic,From you,No,189
https://www.pinterest.com/pin/1118229782511783808/,Organic,From you,No,185
https://www.pinterest.com/pin/1118229782511783206/,Organic,From you,No,181
https://www.pinterest.com/pin/1118229782511549608/,Organic,From you,No,168
https://www.pinterest.com/pin/1118229782511702286/,Organic,From you,No,161
